station_id,year,month,obs_mm_day,CHIRPS,ERA5_LAND,GPM_IMERG,MERRA2,PERSIANN_CDR,TERRACLIMATE,zone_name,zone_id
WA001,2018,4,0.0,3.64e-05,0.001012897,0.0,,0.004271089,0.0,Soudanian,3
WA001,2018,5,0.22,0.0,0.000980876,0.012,,0.006252691,0.0,Soudanian,3
WA001,2018,6,0.8,0.510977328,0.131051615,0.686195195,,0.321829855,0.593624771,Soudanian,3
WA001,2018,7,2.72,0.665748954,0.239749208,1.215747595,,1.33374238,1.274026871,Soudanian,3
WA001,2018,8,3.14,4.737689495,1.761770368,3.226390123,,5.263454437,4.348584175,Soudanian,3
WA001,2018,9,2.61,4.194463253,4.035614967,4.57909441,,6.120252132,5.770709991,Soudanian,3
WA001,2018,10,0.79,0.596455812,0.152798191,0.357709497,,0.910225391,1.207615733,Soudanian,3
WA001,2018,11,3.65,0.029421343,0.078652017,0.187552452,,0.14960745,0.100000001,Soudanian,3
WA001,2018,12,2.85,0.034022376,0.00234502,0.008252384,,0.060877524,0.0,Soudanian,3
WA001,2019,1,1.43,0.034634866,0.000967776,0.002252384,,0.033799578,0.0,Soudanian,3
WA001,2019,2,4.14,0.009489113,0.001271473,0.006757153,,0.175789505,0.0,Soudanian,3
WA001,2019,3,0.67,7.08e-06,0.031240083,0.010504768,,0.032933038,0.0,Soudanian,3
WA001,2019,4,0.0,0.002574312,0.001455581,0.019514307,,0.041379754,0.0,Soudanian,3
WA001,2019,5,0.89,6.74e-06,0.010478167,0.058504771,,0.012148655,0.0,Soudanian,3
WA001,2019,6,2.01,0.309126824,0.001072104,0.071242847,,0.105574146,0.0,Soudanian,3
WA001,2019,7,1.59,0.757929564,0.055637989,0.82712841,,1.145826221,0.072565258,Soudanian,3
WA001,2019,8,3.68,5.912788391,4.631108284,5.934274673,,6.826309204,7.098571301,Soudanian,3
WA001,2019,9,0.0,5.236685276,2.668057442,7.023200989,,6.608663082,3.33735323,Soudanian,3
WA001,2019,10,0.3,1.102902293,2.478464127,2.241200447,,2.500520468,2.439617634,Soudanian,3
WA001,2019,11,0.0,0.011485739,0.000727607,0.019514307,,0.083295502,0.0,Soudanian,3
WA001,2019,12,0.0,0.027229348,0.001073328,0.010504768,,0.082062274,0.0,Soudanian,3
WA001,2020,1,1.4,0.030774502,0.003797113,0.027009537,,0.060209826,0.0,Soudanian,3
WA001,2020,2,4.38,0.006104479,0.001152644,0.033009537,,0.086836606,0.0,Soudanian,3
WA001,2020,3,0.3,0.0,0.000665213,0.014252384,,0.006188433,0.0,Soudanian,3
WA001,2020,4,0.0,4.35e-05,0.001185302,0.021009536,,0.009665545,0.0,Soudanian,3
WA001,2020,5,3.16,0.027200352,0.00068913,0.022504769,,0.030594207,0.0,Soudanian,3
WA001,2020,6,0.0,0.431903034,0.003089389,0.363785774,,0.262998611,0.033333335,Soudanian,3
WA001,2020,7,1.13,5.465216637,2.32962203,5.08992815,,8.109836578,4.538279533,Soudanian,3
WA001,2020,8,6.8,4.649912357,2.78039813,4.457637787,,5.045735836,4.038013935,Soudanian,3
WA001,2020,9,6.13,8.061901093,7.58853054,7.58507061,,9.021862984,13.88176537,Soudanian,3
WA001,2020,10,0.0,1.124284625,0.682427168,0.655438006,,1.446639419,0.909277201,Soudanian,3
WA001,2020,11,0.04,0.001788489,0.001041277,0.108757161,,0.102938466,0.0,Soudanian,3
WA001,2020,12,0.93,0.036199942,0.00078872,0.039766692,,0.056068748,0.0,Soudanian,3
WA002,2000,1,3.09,0.001124061,0.01413913,,0.006726263,0.057824433,0.0,Soudanian,3
WA002,2000,2,5.77,0.000105641,0.001331932,,0.000117509,0.0,0.0,Soudanian,3
WA002,2000,3,2.69,0.060806599,0.079115078,,0.060167197,0.132916644,0.169347867,Soudanian,3
WA002,2000,4,0.94,0.526956141,0.091977708,,0.199944943,0.550849259,0.760378778,Soudanian,3
WA002,2000,5,0.57,1.247023702,1.251903892,,1.037009954,2.133024931,1.70155704,Soudanian,3
WA002,2000,6,0.5,4.049719334,1.789534688,4.029923439,3.225356817,5.020811081,3.739520073,Soudanian,3
WA002,2000,7,1.6,6.549013138,6.824715137,8.034698486,7.301329613,8.424026489,6.909259319,Soudanian,3
WA002,2000,8,4.9,7.460817814,7.411767006,7.913526058,8.401560783,9.161172867,7.762112617,Soudanian,3
WA002,2000,9,2.38,3.419901133,5.753331661,3.081016541,4.678393364,4.441265583,2.933344841,Soudanian,3
WA002,2000,10,3.12,1.065018892,1.047766328,1.629402518,1.176262856,1.961228967,1.653183818,Soudanian,3
WA002,2000,11,2.47,0.057448667,0.009323532,0.223764628,0.113007672,0.119155049,0.33956635,Soudanian,3
WA002,2000,12,0.98,0.008281919,0.000969268,0.0,0.000282838,0.0,0.0,Soudanian,3
